Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
ICICI Pru Nifty SDL Dec 2028 Index Fund-Reg(G),Darshil Dedhia,DT-M&LD,5,973.8,0.37,Open Ended,12-Oct-22,Nifty SDL Dec 2028 Index,11.93,11.95,10.97,0.42,1.35,4.31,8.61,7.92,20.3,4.89,18.03,0,12,179687,65.59,11.46,10.21,Financials,3.91,3.21,7.12,3.07,3.31,6.79,0.43,1.32,Debt : Medium to Long Duration,Nil
ICICI Pru Nifty SDL Sep 2026 Index Fund-Reg(G),Darshil Dedhia,DT-M&LD,2,266.6,0.39,Open Ended,21-Dec-22,Nifty SDL Sep 2026 Index,11.53,11.53,10.7,0.54,1.51,3.75,7.83,7.32,21.96,26.36,15.19,0,30,242567,57.5,14.74,73.87,Financials,1.6,1.45,7.03,3.2,5.85,13.81,0.17,0.63,Debt : Medium to Long Duration,Nil
ICICI Pru Nifty SDL Sep 2027 Index Fund-Reg(G),Darshil Dedhia,DT-M&LD,3,1790.7,0.35,Open Ended,24-Mar-22,Nifty SDL Sep 2027 Index,11.76,11.77,10.86,0.57,1.47,3.93,8.41,7.63,19.37,5.74,5.04,0,33,49317,87.08,18.96,32.91,Automobile and Ancillaries,2.66,2.34,7.08,3.3,4.6,10.02,0.29,0.91,Debt : Medium to Long Duration,Nil
ICICI Pru Nifty Smallcap 250 Index Fund(G),Nishit Patel,EQ-INDX,4,438.1,0.89,Open Ended,02-Nov-21,Nifty Smallcap 250 - TRI,18.1,18.77,13.62,0.99,-3.53,2.76,25.91,36.25,21.57,6.16,13.65,50,250,19549,98.61,7.99,91.81,Financials,1.61,10.79,7.02,17.16,1.1,1.56,0.96,20.01,Equity : Index Funds,Nil
ICICI Pru Nifty200 Value 30 ETF,Nishit Patel,EQ-ETF,5,6.7,0.3,Open Ended,17-Oct-24,Nifty200 Value 30 - TRI,12.63,13.79,12.35,-4.22,-6.67,8.54,22.82,18.54,13.61,9.85,7.16,0,31,144226,76.05,19.77,3.95,Energy,29.05,0.92,6.96,2.6,8.97,-0.08,0.48,18.35,Equity : ETFs,1% on or before 12M Nil after 12M
ICICI Pru Nifty200 Value 30 Index Fund-Reg(G),Nishit Patel,EQ-INDX,5,75,1,Open Ended,18-Oct-24,Nifty200 Value 30 - TRI,9.15,10,8.94,-4.28,1.51,-5.35,7.44,20.96,6.09,12.71,5.9,17.34,31,144249,76.23,19.81,3.96,Energy,11.74,2.81,7.01,15.3,1.21,1.54,0.7,11.84,Equity : Index Funds,Nil
ICICI Pru Nifty50 Equal Weight Index Fund-Reg(G),Nishit Patel,EQ-INDX,2,94.8,1,Open Ended,03-Oct-22,NIFTY50 Equal Weight - TRI,15.33,17.18,13.44,-1.63,-11.77,-3.2,9.75,20.3,5.91,11.02,20.24,45,50,290196,95.95,3.65,10.72,Financials,0.39,2.66,7.19,1.66,0.46,0.7,0.96,14.28,Equity : Index Funds,Nil
ICICI Pru Nifty50 Value 20 ETF,Nishit Patel,EQ-ETF,4,175.7,0.25,Open Ended,17-Jun-16,Nifty50 Value 20 - TRI,15.35,138,13.24,-1.86,-6.86,2.91,17.03,23.96,16.19,21.65,7.07,31,20,515690,98.32,1.63,91.94,Technology,3.07,1.3,7.3,8.92,0.93,1.51,0.94,14.34,Equity : ETFs,Nil
ICICI Pru Nifty50 Value 20 Index Fund-Reg(G),Nishit Patel,EQ-INDX,3,85.3,0.75,Open Ended,02-Feb-24,Nifty50 Value 20 - TRI,11.38,12.11,9.86,-1.89,-6.98,2.65,20.22,21.7,19.33,13.22,15.71,16,20,515766,98.15,1.63,1.53,Technology,0.14,7.02,7.08,9.17,7.38,1.08,1.04,13.94,Equity : Index Funds,Nil
ICICI Pru Overnight Fund(G),Nikhil Kabra,DT-ON,3,9891.5,0.16,Open Ended,15-Nov-18,CRISIL Liquid Overnight Index,1347.85,1347.85,1263.94,0.55,1.61,3.23,6.66,6.62,5.95,4.82,7.32,0,64,163053,51.29,7.99,3.08,Financials,0.01,0.09,6.69,0.3,10.96,2.19,0.99,0.03,Debt : Overnight,Nil
