Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Edelweiss Nifty PSU Bond Plus SDL Apr 2026 50:50 Index Fund-Reg(G),Dhawal Dalal,DT-B&PSU,3,7923.2,0.4,Open Ended,18-Mar-21,Nifty PSU Bond Plus SDL Apr 2026 50:50 Index,12.47,12.47,11.6,0.58,1.66,3.69,7.51,7.18,5.44,20.61,9.39,0,57,196142,41.53,14.62,9.68,Technology,1.22,1.1,7.36,2.97,7.11,15.79,0.15,0.48,Debt : Banking & PSU,0.10% on or before 30D Nil after 30D
Edelweiss Nifty PSU Bond Plus SDL Apr 2027 50:50 Index Fund-Reg(G),Dhawal Dalal,DT-M&LD,2,2286.4,0.4,Open Ended,14-Oct-21,Nifty PSU Bond Plus SDL Apr 2027 50:50 Index,11.86,11.87,11,0.56,1.55,3.89,7.97,7.27,5.59,28.07,7.53,0,23,103434,86.42,55.44,20.23,Financials,2.25,1.98,7.23,3.15,6.04,13.24,0.22,0.63,Debt : Medium to Long Duration,0.15% upto 30D Nil after 30D
Edelweiss Nifty Smallcap 250 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,1,96.2,0.84,Open Ended,30-Nov-22,Nifty Smallcap 250 - TRI,18.42,19.1,13.83,0.99,-3.52,2.89,26.29,36.48,6.91,31.14,11.44,42,250,19551,56.74,8,91.85,Financials,8.14,2.36,7.75,17.46,1.12,1.59,0.96,19.96,Equity : Index Funds,Nil
Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,Bhavesh Jain,EQ-ETF,2,10.8,0.19,Open Ended,31-Oct-24,Nifty500 Multicap Momentum Quality 50 - TRI,45.85,48.38,43.97,-2.42,-11.64,-3.01,15.42,7.58,24.55,15.89,5.99,0,50,96310,55.69,30.92,11.94,Capital Goods,9.03,6.65,6.66,15.4,1.01,0.31,0.92,13.95,Equity : ETFs,Nil
Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,1,156.2,1.1,Open Ended,31-Oct-24,Nifty500 Multicap Momentum Quality 50 - TRI,10.04,10.61,9.64,-2.5,-7.29,-0.75,8.1,5.94,4.04,19.26,8.38,0,50,96608,56.63,31.22,12.09,Capital Goods,4.61,6.35,7.36,0.91,1,3.43,0.88,17.61,Equity : Index Funds,0.10% on or before 30D Nil after 30D
Edelweiss Overnight Fund-Reg(G),Pranavi Kulkarni,DT-ON,3,538.6,0.16,Open Ended,24-Jul-19,CRISIL Liquid Overnight Index,1297.61,1297.61,1217.59,0.55,1.6,3.23,6.59,6.6,5.92,4.87,6.72,0,26,62529,95.95,10.65,3.74,Financials,0.01,0.01,6.64,0.25,30.78,1.88,0.05,0.01,Debt : Overnight,Nil
Edelweiss Recently Listed IPO Fund-Reg(G),Bhavesh Jain,EQ-THEM,4,974,2.26,Open Ended,22-Feb-18,India Recent 100 IPO Index,29.08,29.08,20.99,4.09,1.92,10,29.47,32.38,11.76,23.87,8.51,101,55,16953,9.43,16.75,70.97,Capital Goods,3.37,3.41,7.78,19.91,1.35,1.96,0.78,17.69,Equity : Thematic,2% upto 180D Nil after 180D
Edelweiss Silver ETF,Amit Vora,GOLD-ETF,3,97.3,0.39,Open Ended,21-Nov-23,Silver,88.72,100.4,71.04,-3.79,-4.53,-2.16,15.79,7.4,6.69,5.84,17.25,0,41,63782,51.19,9.11,32.7,Financials,1.25,3.26,7.38,12.63,0.62,1.04,0.48,22.76,Gold : ETFs,Nil for 15% of investment and 1% for remaining Investment on or before 1Y Nil after 1Y
Edelweiss Small Cap Fund-Reg(G),Trideep Bhattacharya,EQ-SML,4,4373.6,1.83,Open Ended,07-Feb-19,Nifty Smallcap 250 - TRI,45.73,46.97,34.06,0.1,-2.39,4.91,25.36,33.67,22.29,32.42,15.45,16,78,21599,1,28.32,68.91,Financials,3.16,0.08,7.01,16.58,1.27,1.87,0.78,16.12,Equity : Small Cap,1% on or before 90D Nil after 90D
Edelweiss Technology Fund-Reg(G),Sumanta Khan,EQ-TECH,3,690.2,2.29,Open Ended,05-Mar-24,BSE TECk Index - TRI,12.26,12.74,9.54,1.02,2.49,10.23,7.45,7.19,6.26,30.03,17.86,508,80,151151,42.45,20.23,13.58,Technology,2.4,0.75,6.68,0.08,1.13,2.09,0.01,13.92,Equity : Sectoral - Technology,1% on or before 90D Nil after 90D
Edelweiss US Technology Equity FOF-Reg(G),Bhavesh Jain,FOF-OVR,5,2571.3,2.35,Open Ended,05-Mar-20,Russell 1000 Equal Weighted Technology Index,26.3,27.92,19.18,-0.61,12,9.97,28.79,45.91,9.04,6.71,14.29,3,89,49752,67.66,1.16,6.94,Energy,3.54,2.41,6.99,21.8,1.02,1.58,1.69,25.96,FoFs : Overseas,1% on or before 90D Nil after 90D
Edelweiss US Value Equity Offshore Fund-Reg(G),Bhavesh Jain,FOF-OVR,5,140.3,2.33,Open Ended,07-Aug-13,Russell 1000 Index,31.19,33.63,26.54,-6.96,0.1,7.06,14.64,11.53,8.71,11.67,9.62,42,29,108228,98.65,32.23,12.22,Financials,0.01,4.97,7.54,9.9,0.96,1.59,0.49,11.71,FoFs : Overseas,1% on or before 90D Nil after 90D
Franklin Asian Equity Fund(G),Shyam Sundar Sriram,EQ-INTL,3,245.5,2.53,Open Ended,16-Jan-08,MSCI Asia (ex-Japan) Standard Index,28.79,30.34,23.11,2.09,-4.29,4.04,14.47,7.37,-0.45,3.17,5.99,62.14,52,246567,28.61,10.54,32.44,Financials,4.63,0.01,6.93,7.86,0.79,1.29,0.56,13.54,Equity : International,1% on or before 1Y
Franklin Build India Fund(G),Ajay Argal,EQ-INFRA,2,2848.5,2,Open Ended,04-Sep-09,BSE India Infrastructure Index - TRI,140.28,148.58,108.59,-2.24,-5.42,-3.22,28.34,39.47,29.58,26.9,17.4,23.04,41,101163,50.63,8.39,34.83,Energy,0.39,3.64,7.35,17.87,1.21,1.69,1.12,19.36,Equity : Sectoral - Infrastructure,1% on or before 1Y
Franklin India Arbitrage Fund-Reg(G),Rajasa Kakulavarapu,HY-ARB,3,141.3,1.05,Open Ended,19-Nov-24,Nifty 50 Arbitrage - TRI,10.07,10.07,10,0.6,-4.36,5.7,14.67,45.91,6.55,15.88,6.52,73.55,60,226190,53.49,14.42,0.75,Financials,0.09,0.09,6.69,16.25,1.29,2.42,0.99,0.79,Hybrid : Arbitrage,0.25% on or before 30D Nil after 30D
Franklin India Balanced Advantage Fund-Reg(G),Rajasa Kakulavarapu,HY-DYN,3,2428.3,1.96,Open Ended,06-Sep-22,NIFTY 50 Hybrid Composite Debt 50:50 Index,14.12,14.15,12.1,0.81,0.1,3.29,15.59,17.62,18.08,25.33,12.76,319.02,49,237958,47.17,8.36,10.56,Financials,2.88,2.4,7.44,8.24,1.67,2.49,0.93,6.57,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Franklin India Banking & PSU Debt Fund(G),Chandni Gupta,DT-B&PSU,3,580.3,0.52,Open Ended,25-Apr-14,NIFTY Banking and PSU Debt Index,21.51,21.51,19.97,0.64,1.65,3.98,7.72,7.27,5.92,6.07,7.16,0,30,538950,86.42,18.05,6.93,Financials,4.15,2.73,7.42,3.02,6.51,13.48,0.21,0.56,Debt : Banking & PSU,Nil
Franklin India Bluechip Fund(G),Venkatesh Sanjeevi,EQ-LC,5,7847.5,1.84,Open Ended,01-Dec-93,NIFTY 100 - TRI,1004.62,1072.65,828.65,-1.07,-6.57,1.57,16.82,19.9,12.23,16.09,11.27,77.98,47,291811,77.64,17.03,2.29,Financials,4.44,2.77,6.89,8.16,0.98,1.56,0.86,12.76,Equity : Large Cap,1% on or before 1Y
Franklin India Corp Debt Fund-A(G),Anuj Tagra,DT-CORP,1,757.6,0.79,Open Ended,23-Jun-97,NIFTY Corporate Bond Index,94.34,94.34,87.61,0.59,1.77,4.06,7.66,7.09,5.77,5.96,7.17,0,29,19549,99.27,8.63,6.23,Financials,4.18,2.76,7.58,3,6.28,12.97,0.19,0.57,Debt : Corporate Bond,NIL
Franklin India Debt Hybrid Fund(G),Rohan Maru,HY-DT(CO),2,245.1,1.4,Open Ended,28-Sep-00,CRISIL Hybrid 85+15 - Conservative Index,87.53,87.69,78.63,0.46,0.23,3.57,10.79,11.24,8.78,8.23,7.59,0,49,221165,15.48,2.9,3.89,Financials,4.23,3.2,7.34,4.49,1.81,2.69,0.66,3.56,Hybrid : Debt Oriented (Conservative),Nil
Franklin India Dynamic Asset Allocation FOFs(G),Rajasa Kakulavarapu,FOF-DOM,2,1314.1,1.38,Open Ended,31-Oct-03,CRISIL Hybrid 50+50 - Moderate Index,159.67,162.32,140.9,0.28,-1.16,3.12,13.01,17.2,13.76,13.08,10.35,74.54,99,258243,67.76,5.91,24.28,Financials,0.59,0.42,7.41,5.7,1.45,2.16,1.06,6.13,FoFs : Domestic,Nil for 10% of units on or before 1Y and For remaining investment 1% on or before 1Y and Nil after 1Y
Franklin India ELSS Tax Saver Fund(G),R. Janakiraman,EQ-ELSS,3,6889.6,1.8,Open Ended,10-Apr-99,NIFTY 500 - TRI,1495.43,1556.69,1191.73,0.25,-4.13,3.23,22.82,27.81,19.94,20.68,13.82,26.59,55,251335,71.59,16.14,9.34,Financials,25.6,3.9,7.13,13.28,1.3,1.92,0.93,13.85,Equity : Tax Saving (ELSS),Nil
Franklin India Equity Advantage Fund(G),Venkatesh Sanjeevi,EQ-L&M,3,3544.8,2,Open Ended,02-Mar-05,NIFTY LargeMidcap 250 - TRI,183.32,198.32,148.68,-0.61,-6.67,1.75,19.18,23.09,13.8,18.03,11.87,106.44,51,124058,45.64,37.27,12.49,Financials,1.98,0.42,7.19,10.66,1.08,1.64,0.87,13.92,Equity : Large & Mid Cap,1% on or before 1Y
Franklin India Equity Hybrid Fund(G),Rajasa Kakulavarapu,HY-EQ,4,2050,2.09,Open Ended,10-Dec-99,CRISIL Hybrid 35+65 - Aggressive Index,267.92,272.84,223.77,0.49,-1.77,3.27,17.95,20.72,15.16,16.34,11.92,58.55,51,216241,47.36,8.8,12.22,Financials,3.15,2.36,7.78,8.82,1.31,1.91,1.54,10.16,Hybrid : Equity Oriented,Nil upto 10% of units on or before 1Y For excess units 1% on or before 1Y & Nil after 1Y
Franklin India Equity Savings Fund(G),Rajasa Kakulavarapu,HY-EQ,2,726,1.12,Open Ended,27-Aug-18,NIFTY 50 Equity Savings Index,15.93,15.95,14.55,0.3,0.53,3.29,8.99,9.61,7.63,8.79,6.75,697.54,59,328937,58.74,6.75,1.18,Financials,3.69,2.52,7.29,3.43,1.86,2.95,0.43,2.52,Hybrid : Equity Oriented,Nil
Franklin India Feeder - Franklin U.S. Opportunities Fund(G),Sandeep Manam,FOF-OVR,4,3775.6,1.53,Open Ended,06-Feb-12,Russell 3000 Growth Index,72.37,75.88,54.93,-1.86,3.51,7.33,27.13,32.32,6.89,15.88,14.3,4.01,57,347436,98.74,15.82,19.84,Healthcare,2.91,2.79,7.43,22.2,1.28,2.09,0.25,17.91,FoFs : Overseas,1% on or before 1Y
Franklin India Feeder - Templeton European Opportunities Fund(G),Sandeep Manam,FOF-OVR,1,15.6,1.4,Open Ended,16-May-14,MSCI Europe Index (Total Return Net),10.04,11.18,9.45,-1.13,-9.24,-1.63,-0.61,5.28,1.74,-0.04,1.35,4.98,250,142998,74.91,31.55,37.25,FMCG,1.25,1.43,6.8,-7.11,-0.26,-0.42,1.16,14.58,FoFs : Overseas,1% on or before 1Y
Franklin India Flexi Cap Fund(G),R. Janakiraman,EQ-FLEX,4,17808.4,1.7,Open Ended,29-Sep-94,NIFTY 500 - TRI,1643.57,1713.01,1318.7,0.22,-4.18,2.94,22.1,27.17,19.52,22.38,14.47,26.79,57,239092,69.66,16.86,9.78,Financials,1.6,1.84,7.03,12.73,1.27,1.87,0.91,13.65,Equity : Flexi Cap,1% on or before 1Y
Franklin India Floating Rate Fund(G),Pallab Roy,DT-FL,2,301.8,0.96,Open Ended,23-Apr-01,Nifty Short Duration Debt Index,38.97,38.97,36.04,0.48,1.56,3.99,8.11,7.72,6.54,5.76,6.13,0,1,49657,98.27,22.67,17.45,Retail and Other Services,6,1.38,7.49,3.7,7.06,16.18,0.11,0.57,Debt : Floater,Nil
Franklin India Focused Equity Fund(G),Ajay Argal,EQ-MLC,3,12183.3,1.76,Open Ended,26-Jul-07,NIFTY 500 - TRI,106.86,115.08,87.43,-0.9,-6.81,-0.38,20.26,22.19,17.84,20.06,13.96,19.87,29,281586,76.03,14.54,5.1,Financials,4.82,3.33,14.04,11.14,1.17,1.77,0.9,13.41,Equity : Multi Cap,1% on or before 1Y
Franklin India G-Sec Fund(G),Anuj Tagra,DT-GILT,1,151.2,1.15,Open Ended,07-Dec-01,Nifty All Duration G-Sec Index,56.42,56.43,52.43,0.51,1.16,4.11,7.43,6.41,5.08,5.12,5.9,0,95,437035,38.66,33.9,6.98,Financials,6.27,3.37,6.84,1.69,2.94,5.54,0.52,1.1,Debt : Gilt,Nil
Franklin India Liquid Fund-Super Inst(G),Pallab Roy,DT-LIQ,4,2293,0.2,Open Ended,02-Sep-05,Nifty Liquid Fund Index,3798.23,3798.23,3537.7,0.6,1.76,3.58,7.38,7.17,6.4,5.34,6.39,0,69,89221,69.98,20.99,15.72,Technology,0.11,0.1,7.09,0.76,11.15,5.61,0.84,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
Franklin India Long Duration Fund-Reg(G),Chandni Gupta,DT-LD,1,17.8,1.99,Open Ended,11-Dec-24,CRISIL Long Duration Debt Index,10,10.01,9.98,0.51,-3.86,3.32,11.9,13.89,5.89,17.21,14.48,0,17,395939,98.38,7.54,13.96,Financials,6.27,3.9,7.23,1.71,1,1.03,1.07,13.92,Debt : Long Duration,NIL
Franklin India Medium to Long Duration Fund-Reg(G),Chandni Gupta,DT-M&LD,5,62.7,0.83,Open Ended,24-Sep-24,CRISIL Medium to Long Term Debt Index,10.15,10.15,9.99,0.46,1.12,3.45,9.03,11.47,10.46,4.75,5.89,0,50,201451,21.22,24.88,23.98,Financials,8.14,4.24,7.33,0.96,4.92,4.78,0.88,13.88,Debt : Medium to Long Duration,Nil
Franklin India Money Market Fund(G),Rohan Maru,DT-MM,4,2271.5,0.29,Open Ended,11-Feb-02,Nifty Money Market Index,48.24,48.24,44.84,0.64,1.78,3.68,7.62,7.45,6.44,5.77,6.83,0,63,437008,70.39,1.24,17.27,Financials,0.42,0.39,7.44,3.48,10.99,22.8,0.03,0.33,Debt : Money Market,Nil
Franklin India Multi Cap Fund-Reg(G),R. Janakiraman,EQ-MLC,2,4597.2,1.81,Open Ended,29-Jul-24,Nifty500 Multicap 50:25:25 - TRI,10.31,10.66,9.67,0.76,-3.13,3.11,17.89,6.78,5.85,17.67,6.41,9.63,66,83430,42.97,22.04,30.33,Financials,9.8,2.14,7.52,5.62,0.6,2.09,0.93,16.88,Equity : Multi Cap,1% before 1Y
Franklin India Multi-Asset Solution FoF(G),Rajasa Kakulavarapu,FOF-DOM,2,60.1,1.44,Open Ended,28-Nov-14,NIFTY 500 - TRI,18.95,19.43,16.75,-0.13,-1.86,2.47,11.89,13.39,10.11,7.59,6.56,40.13,500,14177,53.05,14.49,18.04,Capital Goods,0.94,0.34,7.26,5.64,1.35,2.21,0.71,5.76,FoFs : Domestic,1% on or before 3Y Nil after 3Y
Franklin India NSE Nifty 50 Index Fund(G),Shyam Sundar Sriram,EQ-INDX,2,698.4,0.63,Open Ended,04-Aug-00,NIFTY 50,193.93,209.98,169.29,-1.65,-7.92,-1.42,9.88,15.74,12.18,14.82,11.3,8.61,50,555830,98.38,1.24,19.07,Financials,3.67,0.78,6.93,1.49,0.47,0.71,0.99,13.92,Equity : Index Funds,NIL
Franklin India Opportunities Fund(G),R. Janakiraman,EQ-THEM,3,5904.9,1.8,Open Ended,21-Feb-00,NIFTY 500 - TRI,255.38,261.13,182.81,0.61,-2.4,2.7,37.41,46.28,28.05,27.96,16.7,63.97,63,71933,41.53,11.82,40.44,Healthcare,0.98,5.54,8.46,25.55,1.95,2.88,0.85,15.28,Equity : Thematic,1% on or before 1Y
Franklin India Overnight Fund(G),Pallab Roy,DT-ON,2,308.1,0.15,Open Ended,08-May-19,Nifty 1D Rate Index,1307.34,1307.34,1226.46,0.55,1.61,3.23,6.62,6.58,5.93,4.8,6.02,0,23,286477,58.11,12.79,26.63,Financials,0.01,0.01,6.63,0.28,32.37,1.98,1.15,0.01,Debt : Overnight,Nil
Franklin India Pension Plan(G),Anuj Tagra,HY-SOL,2,518.5,2.26,Open Ended,31-Mar-97,CRISIL Short Term Debt Hybrid 60+40 Index,213.91,214.55,188.15,0.52,-0.32,3.48,12.75,13.66,10.2,9.69,8.51,0,49,212748,26.59,5.05,6.84,Financials,2.38,2.07,7.58,5.62,1.46,2.14,0.93,5.73,Hybrid : Solution Oriented,3% on or beofre the 58Y of age Nil after age of 58Y
Franklin India Prima Fund(G),R. Janakiraman,EQ-MID,2,12441.5,1.76,Open Ended,01-Dec-93,Nifty Midcap 150 - TRI,2802.08,2856.59,2072.9,1.31,-2.57,4.95,31.91,34.81,23.1,23.52,15.87,23.91,78,58660,14.89,62.88,20.05,Financials,0.46,9.93,7.42,21.14,1.62,2.48,0.89,15.84,Equity : Mid Cap,1% on or before 1Y
Franklin India Smaller Cos Fund(G),R. Janakiraman,EQ-SML,1,14045.3,1.73,Open Ended,13-Jan-06,Nifty Smallcap 250 - TRI,181.9,188.14,139.74,0.52,-3.15,-0.91,23.55,37.41,25.2,29.06,17.25,27.73,93,19008,4.68,12.86,76.42,Financials,4.63,5.49,8.07,15.04,1.19,1.73,0.8,16.09,Equity : Small Cap,1% on or before 1Y
Franklin India ST Income Plan(G),Santosh Kamath,DT-SD,1,12.5,2.16,Open Ended,31-Jan-02,CRISIL Short Term Bond Index,5149.41,5149.41,5149.41,0,0,0,0,3.37,5.09,4.75,6.27,0,55,194171,56.11,35.25,32.4,Financials,1.17,1.05,10.88,-4.11,-133.56,-78.85,0.14,21.57,Debt : Short Duration,Nil
Franklin India Technology Fund(G),R. Janakiraman,EQ-TECH,3,1950.1,2.03,Open Ended,22-Aug-98,BSE TECk Index - TRI,547.91,570.03,417.35,1.03,0.02,9.22,28.81,39.37,14.78,26.74,17.42,67.58,29,275044,63.35,7.36,16.34,Technology,18.83,3.37,7.29,19.4,1.55,2.81,0.68,14.68,Equity : Sectoral - Technology,1% on or before 1Y
Franklin India Ultra Short Duration Fund-Reg(G),Rohan Maru,DT-USD,2,216.3,0.73,Open Ended,29-Aug-24,NIFTY Ultra Short Duration Debt Index,10.24,10.24,10,0.57,1.68,-2.6,33.61,18.52,26.17,45.15,6.96,0,501,178883,52.18,61.02,2.08,Financials,0.65,0.38,7.37,3.48,0.56,11.8,1.11,0.67,Debt : Ultra Short Duration,Nil
Groww Aggressive Hybrid Fund-Reg(G),Anupam Tiwari,HY-EQ,2,46,2.3,Open Ended,13-Dec-18,CRISIL Hybrid 35+65 - Aggressive Index,20.43,21.7,17.86,-1.74,-5.66,-2.16,12.41,15.65,11.75,12.87,7.47,158,30,371037,64.21,3.21,2.55,Financials,10.47,3.66,7.4,2.6,0.72,1.07,1.97,11.61,Hybrid : Equity Oriented,1% on or before 7D Nil after 7D
Groww Banking & Financial Services Fund-Reg(G),Anupam Tiwari,EQ-FIN,3,47.7,2.3,Open Ended,06-Feb-24,Nifty Financial Services - TRI,11.15,11.53,9.81,-0.3,-2.25,0.63,23.48,31.57,5.22,9.19,14.04,65,28,230740,68.07,9.51,18.87,Financials,6.9,0.01,7.27,17.74,0.77,1.75,1.4,2.9,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D
Groww Dynamic Bond Fund-Reg(G),Kaustubh Sule,DT-DYN,4,52.4,1.45,Open Ended,04-Dec-18,CRISIL Dynamic Bond Index,1414.96,1417.2,1322.4,0.32,0.56,3.57,6.81,6.08,4.97,5.12,14.3,0,89,424695,74.65,11.89,35.66,Financials,17.07,6.77,6.99,0.55,1.89,3.33,0.71,1.41,Debt : Dynamic Bond,Nil
Groww ELSS Tax Saver Fund-Reg(G),Anupam Tiwari,EQ-ELSS,3,50,2.25,Open Ended,28-Dec-17,BSE 500 - TRI,20.52,21.68,16.97,-0.93,-4.87,0.74,18.49,22.4,15.51,15.01,6.03,134,46,86978,45.43,24.81,23.99,Financials,0.01,11.6,7.29,9.42,0.92,1.37,0.97,15.49,Equity : Tax Saving (ELSS),Nil
Groww Gold ETF,Wilfred Gonsalves,GOLD-ETF,3,55.6,0.51,Open Ended,22-Oct-24,Gold-India,76.69,79.3,73.44,-0.16,-5.01,3.83,7.66,-4.1,10.3,7.54,8.02,0,72,310645,79.17,88.24,36.66,Energy,0.01,2.42,7.31,19.03,1.03,-0.33,1.3,13.69,Gold : ETFs,1% on or before 60D Nil after 60D
Groww Gold ETF FOF-Reg(G),Wilfred Gonsalves,GOLD-MF,4,14.8,0.55,Open Ended,06-Nov-24,Gold-India,9.75,10,9.43,-0.31,1.67,3.51,24.27,7.5,18.12,23.97,6.24,0,55,120668,83.85,5.93,19.01,Financials,2.95,2.47,6.71,0.25,7.11,0.76,1.38,0.66,Gold : MFs,1% on or before 30D Nil after 30D
Groww Largecap Fund-Reg(G),Anupam Tiwari,EQ-LC,3,127.2,2.42,Open Ended,10-Feb-12,NIFTY 100 - TRI,42.02,45.73,36.24,-2.08,-8.09,-4.08,13.13,18.22,13.55,13.04,11.23,161,31,322282,86.18,3.62,3.16,Financials,5.25,2.4,6.91,4.26,0.63,0.94,1.02,15.05,Equity : Large Cap,1% on or before 7D Nil after 7D
Groww Liquid Fund-Reg(G),Kaustubh Sule,DT-LIQ,4,154.1,0.2,Open Ended,25-Oct-11,CRISIL Liquid Debt Index,2440.38,2440.38,2273.59,0.59,1.75,3.55,7.36,7.05,6.24,5.13,6.24,0,4,175857,69.09,31.59,10.08,Technology,0.06,0.07,7.1,1.74,10.68,13.31,0.05,0.16,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Groww Multicap Fund-Reg(G),Anupam Tiwari,EQ-MLC,4,295.1,2.04,Open Ended,16-Dec-24,Nifty500 Multicap 50:25:25 - TRI,10.07,10.07,9.92,0.36,2.58,3.15,9.99,31.41,11.54,6.12,17.43,0,30,181324,51.85,15.81,1.34,Financials,10.44,0.91,7.33,16.23,0.5,2.1,1.4,12,Equity : Multi Cap,1% on or before 1Y Nil after 1Y
Groww Nifty 1D Rate Liquid ETF,Kaustubh Sule,DT-ETF,2,41.2,0.29,Open Ended,24-Sep-24,Nifty 1D Rate Index,101.82,101.82,100,0.56,1.6,3.88,8.38,20.7,15.42,9.24,14.18,0,55,538945,78.21,45.26,82.15,Financials,0.01,0.01,6.68,2.42,1.28,-0.93,2.24,14.33,Debt : ETFs,1% on or before 15D Nil after 15D
Groww Nifty EV & New Age Automotive ETF,Abhishek Jain,EQ-ETF,2,223.8,0.47,Open Ended,07-Aug-24,Nifty EV and New Age Automotive - TRI,30.51,35.3,29.41,-2,-14.43,-3.37,8.04,19.63,6.09,11.2,8.79,9,33,102156,51.52,34.29,14.09,Automobile and Ancillaries,3.09,2.81,7.54,2.92,1.57,0.83,1,14.48,Equity : ETFs,0.05% on or before 15D Nil after 15D
Groww Nifty EV & New Age Automotive ETF FOF-Reg(G),Abhishek Jain,FOF-DOM,5,109.8,0.62,Open Ended,12-Aug-24,Nifty EV and New Age Automotive - TRI,9.38,10.92,9.06,-1.96,-14.55,-3.12,7.79,6.85,6.36,28.56,15.59,132,50,76029,12.41,8.73,37.27,FMCG,0.01,3.07,7.58,11.82,1.89,1.17,1.33,17.03,FoFs : Domestic,1% on or before 30D Nil after 30D
Groww Nifty India Defence ETF,Abhishek Jain,EQ-ETF,3,76.2,0.43,Open Ended,08-Oct-24,Nifty India Defence - TRI,65.74,70.19,59.77,-2.52,0.29,-2.67,18.37,2.55,6.29,13.92,16.68,58,16,77368,41.53,35.53,22.81,Capital Goods,1.62,2.71,7.36,0.91,0.41,1.34,0.8,14.14,Equity : ETFs,Nil
Groww Nifty India Defence ETF FOF-Reg(G),Abhishek Jain,FOF-DOM,5,27,0.63,Open Ended,11-Oct-24,Nifty India Defence - TRI,9.72,10.39,8.87,-2.14,-0.05,3.91,15.52,31.18,16.82,19.83,12.22,88,115,64699,46.35,7.95,3.69,Healthcare,4.46,0.11,7.12,11.14,1.23,1.78,0.96,14.35,FoFs : Domestic,1% on or before 30D Nil after 30D
Groww Nifty Non-Cyclical Consumer Index Fund-Reg(G),Abhishek Jain,EQ-INDX,4,45.6,1,Open Ended,22-May-24,Nifty Non-Cyclical Consumer - TRI,11.07,12.38,9.73,-0.32,-10.19,3.58,6.84,31.11,5.22,14.86,6.06,6,30,233584,82.73,15.65,1.66,FMCG,0.94,2,8.52,14.84,1.03,3.56,0.68,17.2,Equity : Index Funds,1% on or before 30D Nil after 30D
Groww Nifty Smallcap 250 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,2,95,1.05,Open Ended,29-Feb-24,Nifty Smallcap 250 - TRI,11.94,12.38,9,0.97,-3.55,2.78,25.07,22.19,9.04,29.37,13.96,32,250,19551,67.12,8.01,92.08,Financials,0.14,1.83,7.29,3.96,6.47,2.47,0.14,22.56,Equity : Index Funds,0.25% on or before 7D Nil after 7D
Groww Nifty Total Market Index Fund-Reg(G),Abhishek Jain,EQ-INDX,4,254.9,1.05,Open Ended,23-Oct-23,Nifty Total Market - TRI,13.5,14.48,11.36,-0.93,-7.31,-0.96,15.59,7.32,10.07,15.59,7.21,12,752,195010,67.97,17.92,14.07,Financials,5.63,9.6,7.21,6.96,0.8,1.15,1,15.04,Equity : Index Funds,0.25% on or before 7D Nil after 7D
Groww Overnight Fund-Reg(G),Kaustubh Sule,DT-ON,3,26.4,0.24,Open Ended,08-Jul-19,CRISIL Liquid Overnight Index,1290.53,1290.53,1211.15,0.54,1.59,3.21,6.57,6.44,5.79,4.71,6.01,0,68,261454,53.94,10.22,38.99,Financials,0.01,0.01,6.68,1.13,8.26,10.95,0.95,0.14,Debt : Overnight,Nil
Groww Short Duration Fund-Reg(G),Kaustubh Sule,DT-SD,1,58.8,1.6,Open Ended,13-Sep-13,CRISIL Short Duration Debt Index,1993.08,1993.17,1867.2,0.5,1.28,3.54,6.75,6.11,4.74,4.59,5.96,0,23,58754,65.38,5.33,17.05,Financials,3.38,2.74,7.18,1.86,4.31,8.98,0.28,0.62,Debt : Short Duration,Nil
Groww Value Fund-Reg(G),Anupam Tiwari,EQ-VAL,5,46.7,2.3,Open Ended,07-Sep-15,NIFTY 500 - TRI,25.87,27.68,22.56,-2.38,-6.7,-1.72,11.97,21.78,14.85,16.87,14.92,103,36,176329,64.9,12.79,15.81,Financials,5.45,0.79,7.47,3.58,0.57,0.83,0.96,14.84,Equity : Value / Contra,1% on or before 1Y Nil after 1Y
